iter	Passed	Remaining
739	17286	6073
740	17309	6050
741	17331	6026
742	17353	6002
743	17375	5978
744	17397	5954
745	17417	5930
746	17439	5906
747	17465	5884
748	17494	5862
749	17519	5839
750	17542	5816
751	17565	5792
752	17588	5769
753	17610	5745
754	17632	5721
755	17654	5697
756	17674	5673
757	17694	5649
758	17714	5624
759	17735	5600
760	17758	5577
761	17789	5556
762	17811	5532
763	17833	5508
764	17856	5485
765	17880	5462
766	17905	5439
767	17928	5415
768	17951	5392
769	17973	5368
770	17999	5346
771	18025	5323
772	18049	5300
773	18070	5276
774	18093	5252
775	18113	5228
776	18134	5204
777	18156	5180
778	18180	5157
779	18202	5134
780	18224	5110
781	18246	5086
782	18276	5065
783	18305	5043
784	18328	5019
785	18348	4995
786	18369	4971
787	18388	4947
788	18409	4923
789	18431	4899
790	18453	4875
791	18475	4852
792	18498	4828
793	18520	4805
794	18542	4781
795	18564	4757
796	18584	4733
797	18607	4710
798	18628	4686
799	18651	4662
800	18673	4639
801	18696	4615
802	18718	4592
803	18741	4568
804	18763	4545
805	18787	4522
806	18810	4498
807	18834	4475
808	18856	4452
809	18879	4428
810	18901	4404
811	18921	4380
812	18942	4356
813	18962	4332
814	18985	4309
815	19005	4285
816	19028	4262
817	19053	4239
818	19077	4216
819	19100	4192
820	19126	4170
821	19153	4147
822	19174	4123
823	19195	4100
824	19216	4076
825	19238	4052
826	19261	4029
827	19285	4006
828	19308	3982
829	19332	3959
830	19354	3936
831	19378	3912
832	19401	3889
833	19423	3866
834	19446	3842
835	19468	3819
836	19491	3795
837	19520	3773
838	19547	3750
839	19569	3727
840	19591	3703
841	19619	3681
842	19643	3658
843	19665	3634
844	19687	3611
845	19708	3587
846	19730	3564
847	19752	3540
848	19776	3517
849	19800	3494
850	19824	3471
851	19845	3447
852	19865	3423
853	19887	3399
854	19909	3376
855	19935	3353
856	19962	3331
857	19985	3307
858	20008	3284
859	20029	3260
860	20053	3237
861	20078	3214
862	20099	3190
863	20121	3167
864	20144	3143
865	20166	3120
866	20186	3096
867	20209	3073
868	20230	3049
869	20253	3026
870	20275	3002
871	20299	2979
872	20326	2956
873	20350	2933
874	20370	2910
875	20392	2886
876	20415	2863
877	20437	2839
878	20461	2816
879	20482	2793
880	20508	2770
881	20530	2746
882	20553	2723
883	20575	2700
884	20599	2676
885	20621	2653
886	20644	2629
887	20665	2606
888	20687	2582
889	20708	2559
890	20736	2536
891	20764	2514
892	20788	2490
893	20811	2467
894	20835	2444
895	20857	2420
896	20879	2397
897	20901	2374
898	20923	2350
899	20942	2326
900	20964	2303
901	20986	2280
902	21009	2256
903	21031	2233
904	21054	2210
905	21079	2187
906	21101	2163
907	21128	2140
908	21155	2117
909	21179	2094
910	21201	2071
911	21221	2047
912	21245	2024
913	21268	2001
914	21290	1977
915	21314	1954
916	21339	1931
917	21360	1908
918	21382	1884
919	21403	1861
920	21424	1837
921	21445	1814
922	21469	1791
923	21491	1767
924	21514	1744
925	21535	1720
926	21560	1697
927	21587	1674
928	21610	1651
929	21631	1628
930	21655	1604
931	21676	1581
932	21699	1558
933	21721	1534
934	21743	1511
935	21767	1488
936	21790	1465
937	21814	1441
938	21903	1422
939	21928	1399
940	21950	1376
941	21984	1353
942	22016	1330
943	22045	1307
944	22075	1284
945	22107	1261
946	22131	1238
947	22152	1215
948	22172	1191
949	22194	1168
950	22217	1144
951	22240	1121
952	22260	1097
953	22282	1074
954	22305	1051
955	22327	1027
956	22355	1004
957	22385	981
958	22408	958
959	22431	934
960	22452	911
961	22475	887
962	22495	864
963	22515	840
964	22535	817
965	22556	793
966	22578	770
967	22602	747
968	22626	723
969	22653	700
970	22675	677
971	22697	653
972	22718	630
973	22741	607
974	22767	583
975	22791	560
976	22813	537
977	22834	513
978	22857	490
979	22881	466
980	22904	443
981	22928	420
982	22951	396
983	22975	373
984	22999	350
985	23022	326
986	23044	303
987	23066	280
988	23089	256
989	23113	233
990	23140	210
991	23168	186
992	23194	163
993	23217	140
994	23242	116
995	23265	93
996	23286	70
997	23307	46
998	23329	23
999	23351	0
