iter	Passed	Remaining
985	228640	3246
986	228880	3014
987	229137	2783
988	229363	2551
989	229513	2318
990	229725	2086
991	229958	1854
992	230204	1622
993	230467	1391
994	230714	1159
995	230950	927
996	231234	695
997	231505	463
998	231760	231
999	231884	0
